Open,High,Low,Close,Volume
AAPL,AAPL,AAPL,AAPL,AAPL
71.40978524422886,72.46078378305016,71.15668166173941,72.40052032470703,135480400
71.62915285765841,72.45596582996416,71.47246932030643,71.69664764404297,146322800
70.81920816221287,72.3065062028637,70.56851011431775,72.26793670654297,118387200
72.2775784441153,72.53309491165653,71.70869494472285,71.92805480957031,108872000
71.63154422529517,73.38641550034151,71.63154422529517,73.08509826660156,132079200
74.06135963491325,74.83032176731344,73.81066900497032,74.63748168945312,170108400
74.87131787710281,75.37030104945943,74.30483992947904,74.80622863769531,140644800
75.12201817653433,76.4309386915993,75.00389679896787,76.4044189453125,121532000
76.34175230410106,76.5514679630278,75.24977872842311,75.37271118164062,161954400
75.17263768221467,76.05248268254357,74.61820946436237,75.04969787597656,121923600
75.5920621906251,76.10068954693726,75.23048148138665,75.98979949951172,108829200
76.23807238178088,76.83347548162705,75.93193674542053,76.83106994628906,137816400
76.459869381581,76.90099467937888,76.17301471865545,76.31041717529297,110843200
76.79490005023607,77.1347867187842,76.48876443757823,76.58277893066406,101832400
76.63582686293465,77.03115126719418,76.0886300322076,76.95160675048828,104472000
77.19748815287878,77.93993070377184,76.53940855639385,76.72984313964844,146537600
74.74114561147599,75.15334557711078,73.49248860994267,74.47357940673828,161940000
75.35342783283777,76.7515370876536,75.25459488094803,76.58039093017578,162234000
78.209907499375,79.02948893915872,77.46987057591716,78.18338775634766,216229200
77.26738534868132,78.12312337660362,76.83589699674123,78.0700912475586,126743200
77.36142037786921,77.78326467024122,74.31450314285442,74.60858917236328,199588400
73.35268032975995,75.56796570063159,72.85129158100523,74.40367889404297,173788400
76.00670587742576,77.05047340126022,75.60173708426021,76.86003875732422,136616400
77.98573120045752,78.28464294726993,76.88412080562057,77.48675537109375,118826800
77.75674147890366,78.39553270453209,77.19990767879175,78.39311981201172,105425600
77.89294895065062,78.141823360646,76.83704482888538,77.32754516601562,117684000
75.91402717049185,77.69480895996094,75.83429386411699,77.69480895996094,109348800
78.19015914717811,78.26264398287658,77.00860470842123,77.22606658935547,94323200
77.67548599053883,79.06483505188083,77.67548599053883,79.06000518798828,113730400
78.33272826628952,78.82322871837643,78.12976332478873,78.49703216552734,94747600
78.46558016405162,78.76520124751363,78.00891111869721,78.51632690429688,80113600
76.19914481922879,77.25988612279623,76.01792538344428,77.07866668701172,152531200
77.32027709305024,78.42450907000605,77.32027709305024,78.19496154785156,93984000
77.95576899229526,78.44385067885128,76.88777921917897,77.39277648925781,100566000
76.9868493533589,77.4290289157497,75.0248480652508,75.6409912109375,129554000
71.8257200728422,73.49776723386336,69.88546431842104,72.04801177978516,222195200
72.71732141374063,73.09908711151304,69.13642361597664,69.60758972167969,230673600
